group_name,code4,n_tickers,fast_ma,slow_ma,train_return_pct,train_sharpe,train_max_dd_pct,train_win_rate_pct,train_num_trades,test_return_pct,test_sharpe,test_max_dd_pct,test_win_rate_pct,test_num_trades
電気機器/ヘルスケア製品・サービス,3101,8,10,25,250.85,0.344,-56.81,39.02,123.0,-14.31,-0.133,-26.83,40.74,27
電気機器/電子部品・産業用電子機器,31010,115,25,100,152.8,0.253,-47.89,37.14,35.0,-38.67,-0.688,-38.67,37.5,8
電気機器/事務機器,3102,9,10,75,151.18,0.334,-22.03,44.68,47.0,11.56,0.302,-14.34,50.0,8
電気機器/他産業サービス・製品,3103,3,20,100,132.55,0.243,-54.42,41.94,31.0,9.66,0.229,-20.65,45.45,11
電気機器/娯楽用品,3104,3,5,100,140.72,0.25,-67.7,40.0,50.0,356.15,0.766,-7.57,60.0,5
電気機器/民生用エレクトロニクス,3105,6,10,25,227.55,0.281,-54.45,41.07,112.0,-38.67,-0.518,-46.72,38.46,26
電気機器/総合電機,3106,4,20,25,28.88,0.155,-48.93,49.3,142.0,-7.09,0.064,-37.39,43.33,30
電気機器/自動車部品,3107,11,20,100,605.47,0.468,-26.74,62.5,24.0,33.31,0.58,-11.55,66.67,6
電気機器/設備機器・部品,3108,24,10,25,59.83,0.197,-76.17,42.86,119.0,54.67,0.412,-33.76,31.58,19
電気機器/電子デバイス製造装置,3109,18,25,100,27.88,0.155,-67.22,30.0,30.0,33.89,0.335,-21.14,28.57,7
輸送用機器,3150,11,20,25,124.95,0.264,-45.18,43.42,152.0,-34.55,-0.783,-35.62,34.78,23
輸送用機器/建設農業機械・産業車両,3151,15,25,100,-9.09,0.111,-72.89,30.95,42.0,29.79,0.301,-54.14,33.33,6
